trip_id,client_type,budget_total,destination,saison,duree_jours,type_hebergement,prix_vol,meteo_prevue,activite_principale,satisfaction_client,imprevus,reorganisation_necessaire,respect_budget,retour_client
1,solo,5548.9,dubaï,automne,3,hôtel,1320.77,ensoleillé,plage,3,annulation,1,0,séjour mitigé.
2,business,3288.27,rome,printemps,12,hôtel,1524.09,variable,randonnée,4,aucun,0,1,excellent séjour.
3,senior,13347.18,bali,printemps,16,villa,881.94,ensoleillé,plage,5,météo,1,1,excellent séjour.
4,couple,7049.42,sydney,automne,17,appartement,844.39,nuageux,randonnée,3,météo,1,1,séjour mitigé.
5,solo,7612.92,paris,hiver,7,hôtel,1081.24,pluie,gastronomie,2,retard_vol,1,1,séjour mitigé.
6,famille,9378.46,new york,printemps,12,hôtel,1762.66,nuageux,gastronomie,5,météo,1,1,excellent séjour.
7,business,7486.54,lisbonne,été,5,villa,1033.07,nuageux,business,5,météo,1,1,excellent séjour.
9,couple,9414.0,paris,hiver,17,appartement,1156.59,pluie,gastronomie,2,annulation,1,0,séjour mitigé.
11,senior,12845.33,bali,automne,21,resort,466.0,variable,business,5,retard_vol,1,1,excellent séjour.
12,senior,10106.42,paris,hiver,4,appartement,1281.23,nuageux,plage,2,retard_vol,1,0,séjour mitigé.
13,famille,8515.12,new york,automne,10,villa,1204.4,nuageux,plage,1,météo,1,1,séjour mitigé.
14,solo,7607.9,sydney,printemps,19,hôtel,820.22,ensoleillé,randonnée,2,annulation,1,1,séjour mitigé.
15,business,12985.57,new york,été,9,hôtel,1631.27,pluie,randonnée,4,retard_vol,1,1,excellent séjour.
16,solo,6125.88,rome,automne,21,appartement,1211.76,nuageux,business,1,aucun,0,0,séjour mitigé.
17,senior,8193.32,new york,hiver,17,appartement,1494.6,pluie,business,2,aucun,0,1,séjour mitigé.
19,famille,12221.95,rome,printemps,4,villa,1206.0,variable,culture,2,aucun,0,1,séjour mitigé.
20,business,10416.72,tokyo,printemps,5,appartement,529.64,ensoleillé,plage,3,annulation,1,1,séjour mitigé.
21,famille,8186.44,bali,automne,20,appartement,1236.69,variable,business,2,aucun,0,1,séjour mitigé.
22,solo,10407.99,rome,automne,5,appartement,1617.2,pluie,plage,5,retard_vol,1,0,excellent séjour.
23,famille,10261.51,lisbonne,hiver,16,resort,1194.54,ensoleillé,plage,1,bagages,1,0,séjour mitigé.
24,solo,13391.63,dubaï,automne,3,villa,1648.46,pluie,business,5,météo,1,1,excellent séjour.
25,famille,5884.06,tokyo,hiver,14,villa,427.89,pluie,culture,1,aucun,0,0,séjour mitigé.
26,couple,954.98,lisbonne,hiver,8,villa,776.88,variable,business,1,retard_vol,1,1,séjour mitigé.
27,senior,14732.22,lisbonne,été,15,resort,631.15,variable,plage,5,bagages,1,1,excellent séjour.
28,business,10572.54,lisbonne,été,21,resort,606.79,ensoleillé,culture,5,bagages,1,0,excellent séjour.
29,solo,14826.2,bali,automne,21,villa,1357.46,nuageux,gastronomie,2,retard_vol,1,0,séjour mitigé.
30,business,2403.24,dubaï,été,8,appartement,1727.18,variable,culture,4,météo,1,0,excellent séjour.
31,couple,1497.43,lisbonne,printemps,9,hôtel,1185.28,variable,culture,2,météo,1,0,séjour mitigé.
32,senior,14400.28,new york,automne,20,villa,343.17,pluie,gastronomie,1,retard_vol,1,1,séjour mitigé.
33,famille,11390.91,dubaï,printemps,21,resort,134.0,variable,randonnée,1,bagages,1,0,séjour mitigé.
34,couple,4132.88,rome,été,7,villa,1348.67,ensoleillé,randonnée,2,météo,1,0,séjour mitigé.
35,business,7427.8,bali,hiver,10,villa,1602.58,variable,gastronomie,1,retard_vol,1,1,séjour mitigé.
36,couple,8629.37,paris,printemps,4,villa,1796.66,nuageux,culture,2,météo,1,0,séjour mitigé.
37,couple,9354.51,sydney,été,12,villa,1795.83,ensoleillé,gastronomie,3,bagages,1,1,séjour mitigé.
38,business,13023.12,new york,printemps,13,hôtel,165.31,ensoleillé,plage,5,aucun,0,0,excellent séjour.
39,senior,853.14,lisbonne,été,6,appartement,577.9,pluie,randonnée,1,retard_vol,1,1,séjour mitigé.
40,senior,5736.58,dubaï,automne,17,villa,164.47,nuageux,culture,5,aucun,0,0,excellent séjour.
41,business,5227.96,tokyo,été,16,appartement,851.56,pluie,culture,2,bagages,1,0,séjour mitigé.
42,business,5142.1,tokyo,été,15,appartement,954.2,ensoleillé,randonnée,5,bagages,1,1,excellent séjour.
43,solo,13696.57,new york,printemps,10,hôtel,348.33,ensoleillé,business,2,annulation,1,1,séjour mitigé.
44,solo,13525.7,rome,hiver,3,villa,595.68,nuageux,culture,5,annulation,1,1,excellent séjour.
45,business,4100.91,tokyo,été,14,appartement,750.07,ensoleillé,culture,3,aucun,0,0,séjour mitigé.
46,senior,10110.99,paris,été,14,hôtel,1163.0,nuageux,culture,4,météo,1,0,excellent séjour.
47,famille,11526.28,sydney,été,15,villa,1541.26,nuageux,randonnée,1,bagages,1,0,séjour mitigé.
48,couple,9297.44,lisbonne,hiver,11,villa,1085.6,ensoleillé,business,5,aucun,0,0,excellent séjour.
49,business,10193.15,new york,printemps,7,resort,307.18,ensoleillé,randonnée,5,retard_vol,1,1,excellent séjour.
50,couple,13659.38,paris,printemps,21,appartement,1366.22,ensoleillé,gastronomie,4,aucun,0,0,excellent séjour.
51,couple,6298.38,new york,été,7,villa,1191.79,ensoleillé,randonnée,2,retard_vol,1,1,séjour mitigé.
52,couple,11568.18,paris,printemps,15,appartement,1196.77,variable,randonnée,2,bagages,1,0,séjour mitigé.
53,business,1535.43,sydney,automne,3,appartement,1308.71,pluie,business,4,météo,1,1,excellent séjour.
54,business,2101.65,rome,printemps,5,appartement,1572.69,pluie,business,1,météo,1,1,séjour mitigé.
55,solo,4271.55,dubaï,automne,9,villa,1274.38,variable,randonnée,2,retard_vol,1,0,séjour mitigé.
56,couple,6164.98,rome,hiver,15,appartement,1235.25,nuageux,gastronomie,2,bagages,1,1,séjour mitigé.
57,business,2661.97,sydney,hiver,5,villa,1475.38,nuageux,culture,2,retard_vol,1,1,séjour mitigé.
58,senior,6102.08,lisbonne,printemps,12,villa,1009.15,nuageux,plage,2,météo,1,0,séjour mitigé.
59,business,4646.58,lisbonne,hiver,7,villa,841.25,nuageux,gastronomie,2,météo,1,0,séjour mitigé.
60,solo,14936.62,new york,été,15,resort,1199.42,ensoleillé,culture,3,météo,1,0,séjour mitigé.
61,couple,10432.85,new york,printemps,12,resort,1032.05,nuageux,gastronomie,4,retard_vol,1,1,excellent séjour.
62,senior,7891.24,rome,été,16,resort,1190.78,ensoleillé,culture,2,météo,1,0,séjour mitigé.
63,couple,4858.33,rome,hiver,10,resort,1326.68,variable,gastronomie,2,retard_vol,1,1,séjour mitigé.
64,famille,4903.8,lisbonne,été,8,villa,645.25,ensoleillé,plage,3,météo,0,1,séjour mitigé.
65,business,1652.62,rome,printemps,4,appartement,948.98,pluie,culture,1,retard_vol,1,1,séjour mitigé.
66,couple,9703.95,lisbonne,automne,15,villa,828.65,variable,plage,2,bagages,1,1,séjour mitigé.
67,business,1590.34,rome,automne,3,appartement,1085.72,ensoleillé,business,4,météo,0,0,excellent séjour.
68,famille,8401.42,new york,automne,10,resort,1161.43,ensoleillé,plage,2,météo,1,0,séjour mitigé.
69,senior,12479.47,bali,printemps,17,hôtel,1068.25,variable,culture,2,retard_vol,1,0,séjour mitigé.
70,couple,3835.27,tokyo,été,12,villa,591.17,ensoleillé,randonnée,2,retard_vol,0,1,séjour mitigé.
71,couple,11292.57,paris,automne,13,appartement,1490.79,nuageux,plage,3,retard_vol,1,1,séjour mitigé.
72,solo,2187.78,sydney,hiver,4,appartement,1152.43,variable,business,3,météo,0,1,séjour mitigé.
73,famille,12406.78,lisbonne,été,20,appartement,914.14,ensoleillé,gastronomie,1,retard_vol,0,0,séjour mitigé.
74,famille,7327.12,rome,hiver,18,appartement,1006.62,pluie,culture,2,retard_vol,1,0,séjour mitigé.
75,famille,5316.27,tokyo,été,13,hôtel,688.82,ensoleillé,plage,3,météo,1,1,séjour mitigé.
76,couple,11518.82,new york,hiver,15,resort,1127.6,nuageux,gastronomie,3,retard_vol,1,1,séjour mitigé.
77,senior,3963.36,tokyo,hiver,10,hôtel,620.57,nuageux,culture,4,retard_vol,1,0,excellent séjour.
78,business,4004.78,new york,printemps,4,resort,1171.66,variable,culture,3,aucun,0,0,séjour mitigé.
80,solo,2648.94,tokyo,hiver,8,villa,717.25,nuageux,randonnée,2,bagages,0,1,séjour mitigé.
81,couple,7913.09,sydney,été,13,appartement,1085.17,variable,culture,2,retard_vol,1,1,séjour mitigé.
82,senior,12784.87,new york,hiver,15,hôtel,1417.32,variable,gastronomie,3,météo,0,0,séjour mitigé.
