trip_id,client_type,destination,saison,type_hebergement,activite_principale,duree_jours,budget_total,prix_vol,meteo_prevue,temperature_moyenne_saison,pluie_moyenne_mm,jours_pluie_moyen,vent_max_moyen_kmh,nb_jours_observes,latitude,longitude,source,periode_reference,pm10_moyen,pm2_5_moyen,european_aqi_moyen,uv_index_moyen,heures_observees_air,source_air_quality,periode_reference_air_quality,satisfaction_client,imprevus,reorganisation_necessaire,respect_budget,retour_client
1,business,new york,hiver,resort,plage,20,9307.38,586.1,nuageux,-0.0,2.34,32,16.49,90,40.71427,-74.00597,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,14.23,13.56,43.36,0.34,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,2,bagages,0,1,séjour décevant.
2,couple,sydney,printemps,appartement,randonnée,12,5915.57,1271.92,nuageux,19.13,4.44,49,17.74,92,-33.86785,151.20732,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,11.25,9.25,31.84,1.01,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,3,aucun,0,1,séjour correct mais perfectible.
3,senior,tokyo,été,hôtel,culture,14,6093.04,1177.75,variable,27.71,2.91,31,13.49,92,35.6895,139.69171,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,24.0,22.42,51.6,1.83,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,3,aucun,0,1,séjour correct mais perfectible.
4,business,new york,printemps,resort,plage,9,14536.11,1071.52,nuageux,12.04,4.75,36,17.46,92,40.71427,-74.00597,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,11.88,11.05,41.24,1.07,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,3,aucun,0,1,séjour correct mais perfectible.
5,famille,bali,hiver,resort,business,19,8894.61,1117.64,pluie,26.28,11.89,84,14.7,90,-8.65,115.21667,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,12.8,11.67,33.02,1.96,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,3,aucun,0,1,séjour correct mais perfectible.
6,senior,rome,printemps,appartement,plage,4,2963.69,499.25,nuageux,15.22,3.55,32,13.85,92,41.89193,12.51133,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,15.93,11.65,37.47,1.19,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,4,aucun,0,1,très bon séjour.
7,business,lisbonne,printemps,villa,culture,8,6678.54,259.49,ensoleillé,15.64,3.53,41,19.08,92,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,15.2,9.48,34.11,1.3,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,3,annulation,1,1,séjour correct mais perfectible.
8,business,tokyo,hiver,appartement,culture,21,8934.74,983.52,nuageux,6.08,0.56,8,14.28,90,35.6895,139.69171,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,31.02,30.0,55.43,0.51,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,2,aucun,0,1,séjour décevant.
9,famille,paris,été,resort,business,12,6908.27,350.08,ensoleillé,21.05,2.58,30,14.41,92,48.85341,2.3488,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,10.28,6.83,31.49,1.5,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,4,aucun,0,1,très bon séjour.
10,couple,paris,printemps,resort,culture,6,7789.83,505.96,nuageux,12.44,1.18,26,14.07,92,48.85341,2.3488,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,15.06,12.04,38.85,0.97,2208,Open-Meteo Air Quality API,2025-03-01/2025-05-31,4,aucun,0,1,très bon séjour.
11,couple,bali,été,resort,gastronomie,10,5582.69,1194.13,variable,25.53,3.21,49,18.92,92,-8.65,115.21667,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,13.38,9.86,30.22,1.86,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,4,aucun,0,1,très bon séjour.
12,senior,sydney,été,resort,culture,7,12246.73,1554.23,ensoleillé,12.22,4.06,27,18.74,92,-33.86785,151.20732,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,10.19,9.26,31.56,0.49,2208,Open-Meteo Air Quality API,2025-06-01/2025-08-31,4,météo,0,1,très bon séjour.
13,solo,tokyo,automne,hôtel,randonnée,12,5461.22,1073.92,nuageux,18.79,4.52,34,12.27,91,35.6895,139.69171,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,28.46,27.24,54.08,0.85,2184,Open-Meteo Air Quality API,2025-09-01/2025-11-30,4,météo,1,1,très bon séjour.
14,business,new york,hiver,appartement,gastronomie,7,7302.05,606.81,nuageux,-0.0,2.34,32,16.49,90,40.71427,-74.00597,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,14.23,13.56,43.36,0.34,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,3,aucun,0,1,séjour correct mais perfectible.
15,couple,new york,hiver,appartement,business,10,5003.86,769.52,nuageux,-0.0,2.34,32,16.49,90,40.71427,-74.00597,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,14.23,13.56,43.36,0.34,2160,Open-Meteo Air Quality API,2024-12-01/2025-02-28,2,aucun,0,1,séjour décevant.
